"Rank","Grade","Username","Tweets","Followers","Following"
"1","A++","katyperry","9,355","106,909,757","215"
"2","A++","justinbieber","30,512","104,988,576","300,077"
"3","A++","BarackObama","15,571","104,182,128","616,778"
"4","A++","rihanna","10,231","89,036,525","1,091"
"5","A++","taylorswift13","103","83,385,173","0"
"6","A++","ladygaga","8,926","77,583,692","125,671"
"7","A++","TheEllenShow","18,313","76,913,558","33,110"
"8","A++","Cristiano","3,336","76,082,602","103"
"9","A++","YouTube","23,068","71,140,301","1,014"
"10","A++","jtimberlake","4,059","64,729,385","289"
"11","A++","ArianaGrande","43,385","60,125,678","62,312"
"12","A++","KimKardashian","28,644","59,353,119","143"
"13","A++","ddlovato","17,082","57,290,787","535"
"14","A++","realDonaldTrump","40,214","57,235,630","45"
"15","A+","selenagomez","4,375","56,900,731","1,200"
"16","A++","britneyspears","5,642","56,490,454","383,556"
"17","A+","Twitter","8,619","55,876,632","140"
"18","A+","cnnbrk","64,407","54,615,945","121"
"19","A+","shakira","6,145","50,901,933","212"
"20","A+","jimmyfallon","11,521","50,793,532","8,597"
"21","A+","BillGates","2,931","46,184,647","200"
"22","A+","narendramodi","21,943","45,071,600","2,123"
"23","A+","JLo","14,138","43,547,814","1,691"
"24","A","nytimes","346,483","42,641,943","881"
"25","A","BrunoMars","4,488","42,337,062","100"
"26","A","neymarjr","41,407","42,001,237","745"
"27","A","KingJames","6,182","41,972,358","181"
"28","A","Oprah","12,606","41,843,296","298"
"29","A","CNN","221,083","41,117,912","1,111"
"30","A","MileyCyrus","9,582","40,920,122","418"
"31","A","NiallOfficial","13,025","39,353,883","5,944"
"32","A","BBCBreaking","35,252","38,766,468","3"
"33","A","Drake","1,718","37,801,111","627"
"34","A","iamsrk","57,636","37,205,002","79"
"35","A","instagram","12,198","36,832,175","4"
"36","A","SrBachchan","63,639","35,956,501","1,863"
"37","A","BeingSalmanKhan","42,535","35,609,572","23"
"38","A","SportsCenter","107,012","35,254,738","1,660"
"39","A","KevinHart4real","38,120","34,813,910","550"
"40","A","LilTunechi","1,982","34,072,064","50"
"41","A","espn","99,259","33,740,282","235"
"42","A","wizkhalifa","44,512","33,654,236","831"
"43","A","Louis_Tomlinson","6,601","33,225,127","3,755"
"44","A","Harry_Styles","5,490","33,211,422","2,008"
"45","A","LiamPayne","10,671","32,492,474","15,943"
"46","A-","Pink","7,161","31,939,104","457"
"47","A-","realmadrid","64,923","31,301,030","56"
"48","A-","onedirection","9,888","30,968,761","3,733"
"49","A-","NASA","54,580","30,169,847","297"
"50","A-","aliciakeys","7,888","29,866,344","710"
"51","A-","KAKA","5,075","29,601,579","302"
"52","A-","chrisbrown","4,340","29,523,638","1"
"53","A-","akshaykumar","39,182","29,159,958","25"
"54","A-","kanyewest","1,181","29,145,980","277"
"55","A-","EmmaWatson","1,685","29,033,927","390"
"56","A-","FCBarcelona","99,712","29,014,252","72"
"57","A-","ConanOBrien","3,716","28,446,291","1"
"58","A-","zaynmalik","3,547","28,108,494","2,202"
"59","A-","Adele","309","27,955,508","0"
"60","A-","sachin_rt","2,503","27,923,692","79"
"61","A-","imVkohli","1,640","27,866,787","52"
"62","A-","PMOIndia","22,288","27,684,376","451"
"63","A-","NBA","220,884","27,557,015","1,697"
"64","A-","KendallJenner","9,347","27,154,695","133"
"65","A-","ActuallyNPH","2,982","27,099,595","137"
"66","A-","pitbull","7,726","26,237,462","2,638"
"67","A-","khloekardashian","59,795","26,181,115","268"
"68","A-","danieltosh","13,878","26,164,448","135"
"69","A-","KylieJenner","12,980","26,030,267","1,119"
"70","A-","deepikapadukone","3,762","25,605,364","77"
"71","A-","iHrithik","4,627","25,028,220","89"
"72","A-","POTUS","4,829","24,895,418","39"
"73","A-","BBCWorld","288,950","24,350,060","92"
"74","A-","aamir_khan","648","24,282,544","9"
"75","A-","NFL","183,100","24,210,502","2,561"
"76","A-","elonmusk","6,431","24,119,232","79"
"77","A-","priyankachopra","20,955","24,056,528","537"
"78","A-","kourtneykardash","12,925","23,908,066","71"
"79","A-","HillaryClinton","10,636","23,897,932","783"
"80","A-","coldplay","7,435","23,797,774","1,493"
"81","A-","andresiniesta8","1,917","23,778,773","94"
"82","A-","MesutOzil1088","1,539","23,650,782","96"
"83","A-","TheEconomist","162,821","23,525,378","0"
"84","A-","ChampionsLeague","58,538","22,534,613","494"
"85","A-","Eminem","866","22,466,692","0"
"86","A-","NatGeo","47,326","22,440,844","54"
"87","A-","AvrilLavigne","3,862","21,756,327","163"
"88","A-","davidguetta","4,988","21,436,067","318"
"89","A-","arrahman","4,805","21,013,587","1"
"90","A-","Google","92,719","20,717,539","218"
"91","A-","ShawnMendes","14,609","20,709,931","59,046"
"92","A-","MohamadAlarefe","23,450","20,669,104","8"
"93","A-","blakeshelton","10,915","20,666,788","697"
"94","A-","MariahCarey","8,346","20,523,407","127"
"95","A-","NICKIMINAJ","41,895","20,497,176","4,768"
"96","A-","ricky_martin","6,674","20,411,002","429"
"97","A-","Reuters","348,333","20,132,873","1,080"
"98","B+","AlejandroSanz","28,959","19,439,242","1,874"
"99","B+","edsheeran","29,279","19,308,284","0"
"100","B+","3gerardpique","2,651","19,005,525","602"
"101","B+","DalaiLama","1,425","18,974,504","0"
"102","B+","LeoDiCaprio","1,561","18,908,602","149"
"103","B+","premierleague","100,336","18,814,685","78"
"104","B+","AnushkaSharma","4,247","18,679,593","130"
"105","B+","Dr_alqarnee","58,348","18,660,365","325"
"106","B+","ManUtd","50,775","18,656,440","133"
"107","B+","FoxNews","418,058","18,591,685","398"
"108","B+","aliaa08","4,810","18,419,711","235"
"109","B+","StephenAtHome","6,011","18,345,298","53"
"110","B+","virendersehwag","11,255","18,297,175","140"
"111","B+","10Ronaldinho","5,112","18,239,506","111"
"112","B+","JimCarrey","4,422","18,188,727","1"
"113","B+","aplusk","10,049","18,038,992","779"
"114","B+","jamesdrodriguez","2,706","18,035,543","308"
"115","B+","shugairi","2,033","17,869,557","0"
"116","B+","Pontifex","1,824","17,838,766","8"
"117","B+","BTS_twt","11,401","17,833,513","150"
"118","B+","WhiteHouse","6,447","17,826,892","12"
"119","B+","AlArabiya_Brk","98,527","17,739,126","37"
"120","B+","GarethBale11","1,455","17,724,569","115"
"121","B+","SnoopDogg","41,065","17,573,881","2,714"
"122","B+","agnezmo","15,222","17,486,796","1,083"
"123","B+","KDTrey5","23,289","17,417,943","1,441"
"124","B+","ParisHilton","16,333","17,154,691","7,994"
"125","B+","WayneRooney","2,558","16,994,565","444"
"126","B+","FALCAO","5,999","16,977,254","608"
"127","B+","xtina","1,398","16,955,665","26"
"128","B+","CNNEE","175,622","16,896,110","643"
"129","B+","Pontifex_es","1,808","16,831,730","8"
"130","B+","DaniloGentili","68,301","16,756,001","318"
"131","B+","pewdiepie","118","16,511,841","581"
"132","B+","ivetesangalo","43,050","16,402,691","732"
"133","B+","WSJ","264,918","16,308,251","1,123"
"134","B+","camerondallas","1,049","16,133,734","153"
"135","B+","RyanSeacrest","15,331","16,043,340","566"
"136","B+","karanjohar","9,503","16,040,058","480"
"137","B+","PlayStation","29,003","16,007,880","757"
"138","B+","ZacEfron","1,744","15,885,913","102"
"139","B+","radityadika","52,772","15,745,069","744"
"140","B+","TIME","307,636","15,695,035","854"
"141","B+","SergioRamos","3,727","15,677,938","726"
"142","B+","TwitterVideo","8,336","15,567,247","1,102"
"143","B+","tomhanks","878","15,558,340","25"
"144","B+","RafaelNadal","2,750","15,553,569","97"
"145","B+","ImRaina","3,231","15,503,236","289"
"146","B+","MTV","274,089","15,497,860","31,879"
"147","B+","TwitterSports","14,073","15,351,328","1,295"
"148","B+","LuisSuarez9","1,172","15,329,127","61"
"149","B+","paulocoelho","34,396","15,268,288","234"
"150","B+","Forbes","201,629","15,109,167","5,781"
"151","B+","Diddy","41,303","15,107,051","1,816"
"152","B+","TwitterLatAm","3,132","14,993,755","62"
"153","B+","POTUS44","352","14,906,761","79"
"154","B+","detikcom","1,422,730","14,892,373","28"
"155","B+","Beyonce","11","14,856,340","10"
"156","B+","9GAG","42,933","14,798,133","9"
"157","B+","VineCreators","3,664","14,696,867","2"
"158","B+","SHAQ","9,449","14,696,235","698"
"159","B+","maroon5","6,453","14,663,372","489"
"160","B+","tyrabanks","9,256","14,623,632","702"
"161","B+","jk_rowling","12,068","14,581,459","662"
"162","B+","BigSean","20,259","14,571,446","2,208"
"163","B+","juniorbachchan","28,889","14,422,538","395"
"164","B+","Zendaya","58,659","14,406,645","1,763"
"165","B+","ClaudiaLeitte","52,810","14,396,034","979"
"166","B+","SethMacFarlane","8,408","14,325,914","433"
"167","B+","ArvindKejriwal","27,152","14,314,453","211"
"168","B+","enriqueiglesias","5,739","14,238,863","2,750"
"169","B+","kobebryant","1,623","14,096,770","454"
"170","B+","ABC","236,891","14,069,253","559"
"171","B+","sonakshisinha","12,900","14,056,187","72"
"172","B+","UberFacts","171,606","14,018,298","1"
"173","B+","Arsenal","84,505","13,962,209","155,013"
"174","B+","Alafasy","32,056","13,942,224","1,103"
"175","B+","shahidkapoor","7,128","13,886,852","100"
"176","B+","AlArabiya","165,419","13,881,122","36"
"177","B+","funnyordie","30,177","13,856,276","6,160"
"178","B+","TreySongz","13,774","13,834,064","3,549"
"179","B+","FCBarcelona_es","100,432","13,827,650","77"
"180","B+","nickjonas","4,776","13,806,116","676"
"181","B+","CMYLMZ","969","13,766,435","128"
"182","B+","arunjaitley","3,122","13,732,173","160"
"183","B+","bts_bighit","7,475","13,612,088","19"
"184","B+","voguemagazine","116,813","13,570,612","526"
"185","B+","salman_alodah","49,192","13,516,190","243"
"186","B+","Asli_Jacqueline","7,131","13,495,650","205"
"187","B+","facebook","11,742","13,467,494","708"
"188","B+","AJArabic","230,533","13,418,219","27"
"189","B+","RT_Erdogan","5,505","13,378,897","4"
"190","B+","mangeshkarlata","2,616","13,359,478","10"
"191","B+","ObamaWhiteHouse","28,359","13,348,411","229"
"192","B+","marcosmion","22,158","13,257,408","620"
"193","B+","washingtonpost","298,795","13,254,629","1,501"
"194","B+","CHANEL","2,249","13,240,139","0"
"195","B+","elissakh","47,062","13,182,039","334"
"196","B+","ashleytisdale","9,263","13,163,002","226"
"197","B+","aguerosergiokun","4,596","13,156,325","127"
"198","B+","AP","234,056","13,122,269","7,153"
"199","B+","TheRock","22,555","13,121,809","262"
"200","B+","RealHughJackman","3,440","13,103,480","14"
"201","B+","rickygervais","53,451","13,099,459","1,311"
"202","B+","neiltyson","5,957","13,081,159","42"
"203","B+","Xbox","237,332","13,067,307","17,093"
"204","B+","StephenCurry30","7,039","13,053,217","750"
"205","B+","ImRo45","2,056","13,014,391","46"
"206","B+","NancyAjram","18,067","13,006,342","102"
"207","B+","UberSoc","34,980","13,000,403","2,199"
"208","B+","AnupamPKher","36,505","12,943,952","155"
"209","B+","iamwill","8,046","12,925,396","1,437"
"210","B+","TweetRAMALAN","116,462","12,883,515","25"
"211","B+","CalvinHarris","1,095","12,831,181","3,327"
"212","B+","ZoeSugg","42,184","12,829,254","493"
"213","B+","victoriabeckham","3,677","12,814,873","56"
"214","B+","VancityReynolds","1,164","12,765,051","396"
"215","B+","KapilSharmaK9","8,177","12,762,220","413"
"216","B+","stephenfry","23,319","12,739,949","49,883"
"217","B+","ParineetiChopra","7,404","12,711,629","247"
"218","B+","LucianoHuck","10,851","12,680,309","395"
"219","B+","5SOS","27,314","12,585,379","30,468"
"220","B+","SarahKSilverman","13,951","12,561,978","1,374"
"221","B+","sabqorg","152,273","12,556,825","4"
"222","B+","richardbranson","22,264","12,466,902","3,850"
"223","B+","Rubiu5","23,944","12,439,333","666"
"224","B+","FIFAcom","72,434","12,396,566","837"
"225","B+","Usher","5,799","12,390,379","570"
"226","B+","johnlegend","12,845","12,383,268","911"
"227","B+","sonamakapoor","17,804","12,381,681","830"
"228","B+","chetan_bhagat","14,067","12,365,177","166"
"229","B+","rogerfederer","1,687","12,363,393","83"
"230","B+","ChelseaFC","85,586","12,354,471","266"
"231","B+","kelly_clarkson","7,332","12,257,678","119"
"232","B+","RobertDowneyJr","567","12,222,242","63"
"233","B+","AmitShah","7,726","12,218,387","282"
"234","B+","SamsungMobile","4,886","12,063,127","434"
"235","B+","SushmaSwaraj","6,061","12,050,374","0"
"236","B+","TwitterMusic","15,741","11,997,208","382"
"237","B+","rajnathsingh","3,876","11,961,962","261"
"238","B+","FarOutAkhtar","7,615","11,956,213","317"
"239","B+","markiplier","8,229","11,953,786","293"
"240","B+","JColeNC","2,694","11,904,067","406"
"241","B+","D_DeGea","1,988","11,888,183","195"
"242","B+","mindykaling","17,605","11,876,635","842"
"243","B+","MichelleObama","1,046","11,841,665","18"
"244","B+","SimonCowell","1,850","11,835,059","2,621"
"245","B+","XHNews","133,801","11,792,590","58"
"246","B+","thekiranbedi","30,582","11,788,947","296"
"247","B+","XabiAlonso","611","11,775,364","530"
"248","B+","rustyrockets","12,146","11,745,868","433"
"249","B+","vicegandako","21,805","11,681,669","542"
"250","B+","RedeGlobo","148,769","11,661,731","548"
"251","B+","LittleMix","31,533","11,658,548","29,215"
"252","B+","rafinhabastos","33,031","11,649,394","329"
"253","B+","daddy_yankee","20,545","11,628,944","104"
"254","B+","juanes","10,658","11,582,166","1,825"
"255","B+","Ludacris","21,334","11,548,749","322"
"256","B+","enews","228,452","11,524,173","118,180"
"257","B+","timesofindia","438,534","11,519,142","511"
"258","B+","LunaMaya26","14,826","11,512,080","665"
"259","B+","jimmykimmel","6,103","11,495,304","629"
"260","B+","charliesheen","2,271","11,483,853","180"
"261","B+","JohnCena","5,952","11,474,467","2,874"
"262","B+","GermanGarmendia","13,052","11,473,687","276"
"263","B+","Starbucks","165,630","11,431,317","96,471"
"264","B+","FLOTUS","471","11,428,310","6"
"265","B+","programapanico","60,811","11,420,783","1,918"
"266","B+","HuffPost","522,754","11,410,078","5,712"
"267","B+","kendricklamar","4,287","11,397,411","520"
"268","B+","CGTNOfficial","77,314","11,316,557","41"
"269","B+","Carles5puyol","2,221","11,307,457","380"
"270","B+","MarceloM12","1,944","11,303,462","391"
"271","B+","ShraddhaKapoor","5,339","11,300,033","278"
"272","B+","DisneyPixar","7,141","11,297,659","147"
"273","B+","MarcAnthony","6,691","11,255,177","750"
"274","B+","RanveerOfficial","4,578","11,255,166","853"
"275","B+","VictoriasSecret","158,571","11,231,868","1,239"
"276","B+","PaulinaRubio","8,972","11,224,187","202"
"277","B+","SaudiNews50","142,529","11,190,238","6"
"278","B+","cinema21","20,672","11,180,105","70"
"279","B+","TEDTalks","30,525","11,109,051","619"
"280","B+","ndtv","561,916","11,093,874","15"
"281","B+","TheOnion","64,978","11,029,811","14"
"282","B+","SabrinaSato","45,434","11,012,950","1,657"
"283","B+","NabilAlawadhy","31,726","11,005,774","503"
"284","B+","billmaher","4,113","11,003,901","40"
"285","B+","tim_cook","682","10,998,676","59"
"286","B+","ciara","10,625","10,943,356","56"
"287","B+","azizansari","7,596","10,936,013","0"
"288","B+","LFC","76,854","10,906,073","378,813"
"289","B+","serenawilliams","14,396","10,856,212","360"
"290","B+","Pharrell","4,579","10,851,938","1,042"
"291","B+","BillClinton","775","10,843,945","35"
"292","B+","annecurtissmith","49,480","10,823,990","1,517"
"293","B+","kata2bijak","150,125","10,805,198","132"
"294","B+","sherinasinna","11","10,790,533","172"
"295","B+","UN","67,122","10,756,200","1,173"
"296","B+","jokowi","1,406","10,754,448","59"
"297","B+","chrissyteigen","65,912","10,753,800","4,844"
"298","B+","yuyacst","13,421","10,682,215","632"
"299","B+","amrkhaled","13,030","10,583,018","10"
"300","B+","Tatawerneck","12,620","10,562,805","2,047"
"301","B+","143redangel","10,038","10,538,248","493"
"302","B+","Luke5SOS","9,121","10,526,174","20,968"
"303","B+","Michael5SOS","12,237","10,494,748","14,851"
"304","B+","VictoriaJustice","20,802","10,478,369","1,868"
"305","B+","Ricardo_Arjona","3,798","10,470,222","35"
"306","B+","QueenRania","2,070","10,408,650","46"
"307","B+","rioferdy5","19,031","10,381,538","595"
"308","B+","carlyraejepsen","6,722","10,376,063","81,945"
"309","B+","Alwaleed_Talal","318","10,371,199","36"
"310","B+","BJP4India","176,571","10,367,541","2"
"311","B+","cnnarabic","139,283","10,359,058","197"
"312","B+","Byoussef","12,076","10,355,999","707"
"313","B+","WIRED","99,148","10,349,193","347"
"314","B+","JKCorden","12,847","10,342,582","2,423"
"315","B+","Metro_TV","1,045,239","10,333,336","75"
"316","B+","WWE","213,607","10,325,600","415"
"317","B+","realwbonner","10,246","10,299,334","0"
"318","B+","ChrisEvans","1,146","10,288,085","359"
"319","B+","cuervotinelli","58,990","10,240,996","376"
"320","B+","Android","5,574","10,215,118","65"
"321","B+","ajaydevgn","2,415","10,193,343","61"
"322","B+","luansantana","12,223","10,187,049","2,810"
"323","B+","Caradelevingne","7,503","10,163,554","1,030"
"324","B+","whindersson","21,920","10,134,999","1,061"
"325","B+","50cent","13,970","10,131,867","4"
"326","B+","realmadriden","38,795","10,071,206","55"
"327","B+","TechCrunch","192,754","10,033,596","1,049"
"328","B+","EugenioDerbez","9,106","10,011,196","788"
"329","B+","g1","643,366","10,005,490","102"
"330","B+","andersoncooper","18,273","9,996,182","272"
"331","B+","halsey","13,681","9,992,912","2,806"
"332","B+","davidbisbal","17,291","9,969,622","883"
"333","B+","KrisJenner","12,109","9,947,234","262"
"334","B+","SBYudhoyono","4,823","9,933,023","125"
"335","B+","theweeknd","3,013","9,931,375","2"
"336","B+","CuteEmergency","45,817","9,917,374","0"
"337","B+","afgansyah_reza","11,756","9,909,638","580"
"338","B+","showdavida","35,741","9,899,719","60"
"339","B+","Varun_dvn","8,573","9,888,128","94"
"340","B+","girlposts","5,294","9,875,798","256,276"
"341","B+","Anahi","7,838","9,873,503","678"
"342","B+","joejonas","10,211","9,873,203","1,167"
"343","B+","gusttavo_lima","17,743","9,831,547","1,105"
"344","B+","AustinMahone","41,795","9,810,816","74,260"
"345","B+","mashable","324,588","9,807,018","2,773"
"346","B+","TareqAlSuwaidan","21,099","9,797,162","11"
"347","B+","cesc4official","3,908","9,772,913","197"
"348","B+","BBCNews","373,334","9,740,837","100"
"349","B+","LukeBryanOnline","5,063","9,676,880","11,394"
"350","B+","connorfranta","26,026","9,611,892","4,416"
"351","B+","RockstarGames","16,029","9,603,629","1,268"
"352","B+","MarceloTas","19,674","9,574,710","2,900"
"353","B+","Riteishd","24,374","9,567,344","285"
"354","B+","TwitterLive","6,897","9,554,782","40"
"355","B+","amrdiab","2,731","9,552,631","4"
"356","B+","maddow","8,817","9,533,596","3,148"
"357","B+","TwitterTV","15,931","9,533,438","1,545"
"358","B+","thalia","21,943","9,527,757","1,681"
"359","B+","NintendoAmerica","16,347","9,523,298","274"
"360","B+","Trevornoah","10,651","9,473,687","275"
"361","B+","HashKSA","78,559","9,472,995","935"
"362","B+","Persie_Official","677","9,429,865","161"
"363","B+","HHShkMohd","5,480","9,410,419","62"
"364","B+","AppleMusic","32,236","9,390,995","1,379"
"365","B+","colesprouse","1,853","9,359,189","208"
"366","B+","Legendarios","31,833","9,310,220","62"
"367","B","LuisFonsi","10,314","9,301,165","514"
"368","B","CHAYANNEMUSIC","4,800","9,285,254","966"
"369","B","ashwinravi99","3,250","9,280,298","230"
"370","B","BreakingNews","102,192","9,272,142","549"
"371","B","LanaDelRey","132","9,248,466","1,302"
"372","B","marcoluque","24,030","9,240,270","370"
"373","B","jessicaalba","6,400","9,218,284","1,403"
"374","B","harbhajan_singh","5,609","9,144,071","123"
"375","B","carmeloanthony","2,840","9,136,983","302"
"376","B","marcjacobs","23,801","9,113,886","1,261"
"377","B","Benzema","1,783","9,060,450","61"
"378","B","SofiaVergara","7,971","9,041,456","92"
"379","B","CH14_","2,078","9,039,590","507"
"380","B","BernieSanders","11,943","8,970,870","1,326"
"381","B","GiGiHadid","16,066","8,961,439","567"
"382","B","IBGDRGN","4,818","8,925,896","11"
"383","B","montanertwiter","51,746","8,919,904","398"
"384","B","yadavakhilesh","1,958","8,919,588","16"
"385","B","ImranKhanPTI","5,728","8,902,068","19"
"386","B","marioteguh","47,474","8,882,120","0"
"387","B","Guaje7Villa","2,367","8,865,226","548"
"388","B","MartinGarrix","16,233","8,861,554","1,133"
"389","B","lindsaylohan","61","8,852,923","721"
"390","B","BigHitEnt","5,072","8,845,201","20"
"391","B","JessieJ","20,816","8,818,114","158"
"392","B","bernardokath","6,385","8,783,031","592"
"393","B","troyesivan","16,798","8,780,516","3,552"
"394","B","AhlamAlShamsi","62,672","8,773,457","783"
"395","B","DavidLuiz_4","2,353","8,766,413","202"
"396","B","SidMalhotra","3,254","8,728,997","181"
"397","B","GautamGambhir","2,600","8,726,062","108"
"398","B","RaffiAhmadLagi","15,008","8,715,453","0"
"399","B","MacMiller","228","8,712,106","1,305"
"400","B","TimesNow","345,043","8,704,005","338"
"401","B","MirzaSania","6,647","8,699,103","119"
"402","B","Pitty","12,031","8,697,921","143"
"403","B","LuceroMexico","37,462","8,693,649","50"
"404","B","DaniAlvesD2","6,750","8,685,796","400"
"405","B","MariaSharapova","3,621","8,683,430","80"
"406","B","pepatah","53,155","8,682,174","114"
"407","B","vidialdiano","31,751","8,640,651","505"
"408","B","JoelOsteen","17,791","8,640,381","167"
"409","B","smritiirani","26,529","8,614,276","393"
"410","B","adamlevine","5,936","8,593,734","14,461"
"411","B","SteveMartinToGo","59","8,592,026","269"
"412","B","NewYorker","88,947","8,589,191","425"
"413","B","cbabdullahgul","1,932","8,554,736","3"
"414","B","channingtatum","7,088","8,549,453","306"
"415","B","sardesairajdeep","57,216","8,535,120","542"
"416","B","TheWeirdWorld","45,771","8,525,435","366"
"417","B","Tip","19,140","8,523,093","714"
"418","B","realmadridarab","27,193","8,498,078","54"
"419","B","DjokerNole","2,959","8,495,548","730"
"420","B","IkerCasillas","3,790","8,494,868","1,064"
"421","B","Earth_Pics","3,931","8,492,826","125"
"422","B","hm","12,303","8,488,538","335"
"423","B","Microsoft","15,032","8,482,857","2,562"
"424","B","raisa6690","25,944","8,471,419","450"
"425","B","Alhilal_FC","30,242","8,461,100","44"
"426","B","Burberry","13,198","8,438,998","13"
"427","B","tvOneNews","171,595","8,438,639","52"
"428","B","ICC","68,692","8,416,334","507"
"429","B","carrieunderwood","4,537","8,413,672","410"
"430","B","steveaoki","42,038","8,405,228","4,827"
"431","B","GalatasaraySK","69,428","8,357,097","71"
"432","B","werevertumorro","90,662","8,354,115","3,109"
"433","B","muyinteresante","160,912","8,353,981","779"
"434","B","felipeneto","1,514","8,328,230","632"
"435","B","danielhowell","17,357","8,303,358","748"
"436","B","chelseahandler","10,134","8,287,872","497"
"437","B","RahulGandhi","4,083","8,265,296","200"
"438","B","MLB","164,417","8,237,915","5,715"
"439","B","BCCI","799,472","8,235,516","71"
"440","B","MonsieurDream","14,810","8,215,140","600"
"441","B","AristeguiOnline","243,179","8,175,681","8"
"442","B","cnni","179,543","8,174,050","369"
"443","B","France24_ar","177,962","8,153,788","905"
"444","B","VEJA","277,518","8,120,969","23,223"
"445","B","NoticiasCaracol","590,481","8,114,363","1,291"
"446","B","NSaina","7,794","8,100,503","823"
"447","B","Mascherano","1,147","8,098,826","249"
"448","B","dhanushkraja","7,765","8,096,075","159"
"449","B","Zedd","31,598","8,090,078","361"
"450","B","basuki_btp","2,703","8,066,639","52"
"451","B","inijedar","43,997","8,066,144","3"
"452","B","bhogleharsha","50,747","8,063,404","164"
"453","B","Discovery","45,048","8,058,378","451"
"454","B","SenSanders","19,720","8,055,947","2,091"
"455","B","abpnewstv","186,449","8,042,236","163"
"456","B","Dior","2,904","8,042,135","143"
"457","B","FabioPorchat","9,434","8,038,458","1,014"
"458","B","officialjaden","5,432","8,018,765","176"
"459","B","lemondefr","288,508","8,015,948","592"
"460","B","chancetherapper","43,186","8,010,513","2,835"
"461","B","tylerthecreator","40,211","7,990,613","170"
"462","B","CarlosLoret","76,202","7,976,206","1,512"
"463","B","IAMQUEENLATIFAH","5,300","7,940,778","704"
"464","B+","hootsuite","65,895","7,930,038","1,505,909"
"465","B","IGGYAZALEA","47,925","7,911,779","962"
"466","B","samsmith","13,560","7,901,618","1,299"
"467","B","DwyaneWade","11,716","7,889,263","664"
"468","B","Anitta","46,595","7,882,669","677"
"469","B","FloydMayweather","7,647","7,880,811","516"
"470","B","SpiderAnderson","3,849","7,862,742","385"
"471","B","gadelmaleh","5,537","7,854,464","1,309"
"472","B","thevirdas","21,419","7,831,422","278"
"473","B","HARDWELL","11,664","7,816,068","1,057"
"474","B","Sethrogen","7,724","7,815,304","1,248"
"475","B","SpaceX","4,090","7,778,737","180"
"476","B","JuanLuisGuerra","1,358","7,773,303","64"
"477","B","lorde","2","7,771,157","115"
"478","B","mcuban","2,975","7,768,921","1,457"
"479","B","Camila_Cabello","12,584","7,757,969","16,504"
"480","B","TheDailyShow","17,150","7,750,710","498"
"481","B","SamuelLJackson","3,371","7,748,282","871"
"482","B","TMCPoldaMetro","527,258","7,744,682","0"
"483","B","Lmao","50,732","7,738,316","141,360"
"484","B","CP3","5,955","7,704,114","885"
"485","B","MoSalah","1,184","7,702,452","142"
"486","B","Nike","35,470","7,684,588","137"
"487","B","juanmata8","2,801","7,670,039","604"
"488","B","imdanielpadilla","3,050","7,662,443","732"
"489","B","aajtak","298,141","7,660,589","446"
"490","B","NPR","167,688","7,653,774","71,344"
"491","B","cocielo","696","7,652,459","814"
"492","B","abdulrahman","23,485","7,647,820","5,337"
"493","B","dog_rates","9,575","7,621,653","12"
"494","B","BBCSport","387,767","7,620,404","298"
"495","B","najwakaram","25,957","7,619,317","107"
"496","B","lopezdoriga","250,966","7,594,554","1,502"
"497","B","Swamy39","66,964","7,538,009","120"
"498","B","mbc1","107,853","7,526,633","0"
"499","B","NoticiasRCN","489,342","7,510,309","3,605"
